时间,容量
2019-12-06:04,588987807.3373691
2019-12-06:06,590752806.3946278
2019-12-06:08,591670742.6125519
2019-12-06:10,592098431.0076387
2019-12-06:12,592206303.5806341
2019-12-06:14,592362193.3839885
2019-12-06:16,592416579.56478
2019-12-06:18,592436492.6756942
2019-12-06:20,592454015.8042322
2019-12-06:22,592474214.4323574
2019-12-07:00,592623382.4744496
2019-12-07:02,594335170.4335821
2019-12-07:04,595201047.6101286
2019-12-07:06,595498536.0737814
2019-12-07:08,595552161.4825996
2019-12-07:10,595581310.4034066
2019-12-07:12,595608897.7458599
2019-12-07:14,595634802.4825733
2019-12-07:16,595655742.6738473
2019-12-07:18,595672308.276782
2019-12-07:20,595687963.3937106
2019-12-07:22,595705326.1790441
2019-12-08:00,595942241.1865437
2019-12-08:02,597283913.8766115
2019-12-08:04,597472031.3456107
2019-12-08:06,597546345.5814728
2019-12-08:08,598337313.1715014
2019-12-08:10,599037346.3835562
2019-12-08:12,599348770.7907628
2019-12-08:14,599383120.4418367
2019-12-08:16,599406605.5753406
2019-12-08:18,599423385.4566956
2019-12-08:20,599439170.2713442
2019-12-08:22,599590667.3155358
2019-12-09:00,600458147.1709961
2019-12-09:02,602335459.0867794
2019-12-09:04,604415854.7336218
2019-12-09:06,606095253.2770437
2019-12-09:08,607919348.5460299
2019-12-09:10,608431070.0518477
2019-12-09:12,609467795.71402
2019-12-09:14,609570869.9759693
2019-12-09:16,609628081.1508255
2019-12-09:18,609647816.4270308
2019-12-09:20,609665531.9066298
2019-12-09:22,609804410.4698408
2019-12-10:00,610844572.6549528
2019-12-10:02,613594578.1670464
2019-12-10:04,614634830.0226022
2019-12-10:06,616184440.973716
2019-12-10:08,617639030.6734171
2019-12-10:10,618022711.2173876
2019-12-10:12,619074372.5688679
2019-12-10:14,619176481.9449687
2019-12-10:16,619235513.9083986
2019-12-10:18,619255863.2563548
2019-12-10:20,619274070.7570227
2019-12-10:22,619428136.9136579
2019-12-11:00,620607772.2244536
2019-12-11:02,623660312.792754
2019-12-11:04,624843029.1894653
2019-12-11:06,626874626.7189597
2019-12-11:08,628831659.8433964
2019-12-11:10,629231501.5303853
2019-12-11:12,630136603.2692869
2019-12-11:14,630234908.567479
2019-12-11:16,630292753.4744233
2019-12-11:18,630312859.6349188
2019-12-11:20,630330730.0429376
2019-12-11:22,630466144.3163903
2019-12-12:00,631664312.0549265
2019-12-12:02,634221497.3623426
2019-12-12:04,636520400.7299397
2019-12-12:06,639038208.0798348
2019-12-12:08,639863645.6313943
2019-12-12:10,640002223.5448768
2019-12-12:12,640212227.9179506
2019-12-12:14,640296332.3513626
2019-12-12:16,640363630.9169153
2019-12-12:18,640384006.0837789
2019-12-12:20,640402234.2140722
2019-12-12:22,640558062.7493418
2019-12-13:00,642401473.0166801
2019-12-13:02,644421280.497864
2019-12-13:04,647133071.2420727
2019-12-13:06,650040368.1918107
2019-12-13:08,651703047.1078618
2019-12-13:10,651989372.0699552
2019-12-13:12,652037014.4461738
2019-12-13:14,419136296.6812472
2019-12-13:16,422858256.27108246
2019-12-13:18,422877003.890081
2019-12-13:20,422893921.4398716
2019-12-13:22,423167113.5884706
2019-12-14:00,423598613.69328105
2019-12-14:02,424648509.84030426
2019-12-14:04,425119460.52873415
2019-12-14:06,425233945.16184485
2019-12-14:08,425571782.82324415
2019-12-14:10,425996361.5613468
2019-12-14:12,426146710.68933445
2019-12-14:14,426173290.66270936
2019-12-14:16,426193605.85843813
2019-12-14:18,426209146.62954646
2019-12-14:20,426223844.8143997
2019-12-14:22,426240067.9770453
2019-12-15:00,426485647.5547301
2019-12-15:02,426756196.27099055
2019-12-15:04,427834917.44359285
2019-12-15:06,428313724.22269434
2019-12-15:08,428429546.3368189
2019-12-15:10,429091107.71743935
2019-12-15:12,429713251.05624986
2019-12-15:14,429746252.7180688
2019-12-15:16,429769705.6917715
2019-12-15:18,429785780.2111504
2019-12-15:20,429800861.85564715
2019-12-15:22,429911333.7309928
2019-12-16:00,430602242.53316265
2019-12-16:02,431945659.5962396
2019-12-16:04,432666655.2102332
2019-12-16:06,433444712.64593816
2019-12-16:08,434279382.9928065
2019-12-16:10,435006757.0740697
2019-12-16:12,435149802.2292453
2019-12-16:14,435242176.1087922
2019-12-16:16,435295713.9289831
2019-12-16:18,435314188.0917189
2019-12-16:20,435330837.8609799
2019-12-16:22,435728053.00999236
2019-12-17:00,436611861.4029086
2019-12-17:02,437878108.9329536
2019-12-17:04,438565919.9979035
2019-12-17:06,439246703.7524373
2019-12-17:08,439470858.9531055
2019-12-17:10,439597643.94196814
2019-12-17:12,439812068.03049016
2019-12-17:14,439907127.2350628
2019-12-17:16,439962054.57684726
2019-12-17:18,439980859.7310926
2019-12-17:20,439997627.0226153
2019-12-17:22,440526132.534694
2019-12-18:00,441024874.95976746
2019-12-18:02,442153941.4606392
2019-12-18:04,442531407.62547153
2019-12-18:06,443174688.94448376
2019-12-18:08,443536662.53199697
2019-12-18:10,443695949.4526467
2019-12-18:12,443879979.6936976
2019-12-18:14,443970124.7299792
2019-12-18:16,444025852.9517559
2019-12-18:18,444044517.37163264
2019-12-18:20,444061151.8479428
2019-12-18:22,444562335.4820378
2019-12-19:00,445245963.0754705
2019-12-19:02,446382266.938286
2019-12-19:04,446694626.42456746
2019-12-19:06,447080202.9867532
2019-12-19:08,447353353.74567556
2019-12-19:10,447505704.488286
2019-12-19:12,447663893.3329006
2019-12-19:14,447752809.89232177
2019-12-19:16,447805445.79204655
2019-12-19:18,447823695.5596041
2019-12-19:20,447840149.01628655
2019-12-19:22,448291917.0176988
2019-12-20:00,448883627.16054094
2019-12-20:02,449656341.0762055
2019-12-20:04,450104077.6517692
2019-12-20:06,450730883.0071018
2019-12-20:08,451027837.02686036
2019-12-20:10,451096764.66561836
2019-12-20:12,451185219.04082793
2019-12-20:14,451281865.1137973
2019-12-20:16,451330397.74326533
2019-12-20:18,451348102.35064167
2019-12-20:20,451364030.3760091
2019-12-20:22,451382126.3054205
2019-12-21:00,451792433.86503154
2019-12-21:02,451999889.80762565
2019-12-21:04,452096489.48020214
2019-12-21:06,452218062.1355741
2019-12-21:08,452310637.09938407
2019-12-21:10,452378128.8401733
2019-12-21:12,452405518.6992925
2019-12-21:14,452430136.50977486
2019-12-21:16,452449763.19694716
2019-12-21:18,452465216.19085777
2019-12-21:20,452479785.2470126
2019-12-21:22,452495686.13064337
2019-12-22:00,452521645.5112551
2019-12-22:02,452607114.8015983
2019-12-22:04,452635911.34344876
2019-12-22:06,452709461.2776731
2019-12-22:08,452773468.94715655
2019-12-22:10,452905376.8661031
2019-12-22:12,452995441.0675053
2019-12-22:14,453104513.6465541
2019-12-22:16,453128231.21601146
2019-12-22:18,453144413.13747406
2019-12-22:20,453159332.6189991
2019-12-22:22,453176700.37018585
2019-12-23:00,453340952.96022004
2019-12-23:02,454056934.1142821
2019-12-23:04,454337897.8586741
2019-12-23:06,454806189.3602464
2019-12-23:08,455505328.47851145
2019-12-23:10,455622060.6953617
2019-12-23:12,455727934.06160885
2019-12-23:14,456058553.8697589
2019-12-23:16,456116616.31581503
2019-12-23:18,456134634.3368714
2019-12-23:20,456150911.81468827
2019-12-23:22,456274126.9525333
2019-12-24:00,457288985.9179114
2019-12-24:02,458247845.6118972
2019-12-24:04,458546350.4523585
2019-12-24:06,459057694.55238456
2019-12-24:08,459264024.35469097
2019-12-24:10,459460361.41746604
2019-12-24:12,459610352.9555164
2019-12-24:14,459694758.4443134
2019-12-24:16,459746222.25774366
2019-12-24:18,459764212.2770051
2019-12-24:20,459780383.1020838
2019-12-24:22,459898654.4327449
2019-12-25:00,460498777.9319457
2019-12-25:02,461496499.8818137
2019-12-25:04,461862563.70963055
2019-12-25:06,462560926.22712266
2019-12-25:08,462836319.29597735
2019-12-25:10,462905668.47480345
2019-12-25:12,463041001.23626834
2019-12-25:14,463084935.7579664
2019-12-25:16,463110877.67548513
2019-12-25:18,463128190.1926888
2019-12-25:20,463144044.3930422
2019-12-25:22,463272341.41084206
2019-12-26:00,464150521.43358266
2019-12-26:02,464789261.1627618
2019-12-26:04,465156942.49899113
2019-12-26:06,465659171.73342264
2019-12-26:08,465930258.8953877
2019-12-26:10,466038695.4890987
2019-12-26:12,466305967.8881027
2019-12-26:14,466386502.1888013
2019-12-26:16,466436459.78121066
2019-12-26:18,466454447.5673478
2019-12-26:20,466470739.95374745
2019-12-26:22,466593491.52968585
2019-12-27:00,467488273.81780666
2019-12-27:02,468246764.4404087
2019-12-27:04,468716758.728354
2019-12-27:06,469256859.726847
2019-12-27:08,469467146.95412725
2019-12-27:10,469518477.66933954
2019-12-27:12,469570862.08559984
2019-12-27:14,469643407.23608464
2019-12-27:16,469690449.4002096
2019-12-27:18,469707620.91616887
2019-12-27:20,469723393.3681209
2019-12-27:22,469741203.3693852
2019-12-28:00,470138190.07857716
2019-12-28:02,470460197.47903556
2019-12-28:04,470661289.1214231
