时间,容量
2019-11-28:18,657450449.6597222
2019-11-28:20,657531436.1672223
2019-11-28:22,657620811.5319444
2019-11-29:00,657783771.008889
2019-11-29:02,658391324.1597222
2019-11-29:04,658846956.103611
2019-11-29:06,659394329.14
2019-11-29:08,659712007.7616668
2019-11-29:10,659910021.605
2019-11-29:12,660095947.1030557
2019-11-29:14,660262891.8919443
2019-11-29:16,660416888.9927777
2019-11-29:18,660550413.843889
2019-11-29:20,660662582.5222223
2019-11-29:22,660789542.5936111
2019-11-30:00,660937312.8459731
2019-11-30:02,661108721.2983334
2019-11-30:04,661271674.3783332
2019-11-30:06,661413574.7155554
2019-11-30:08,661558498.2713888
2019-11-30:10,661704229.5547223
2019-11-30:12,661858315.4375
2019-11-30:14,662006010.0491668
2019-11-30:16,662142054.4305555
2019-11-30:18,662274032.2622223
2019-11-30:20,662405683.2133334
2019-11-30:22,662541107.768889
2019-12-01:00,662680521.8652778
2019-12-01:02,662823904.7258332
2019-12-01:04,662976340.1405556
2019-12-01:06,663134948.5608332
2019-12-01:08,663285703.1027777
2019-12-01:10,663437139.1800001
2019-12-01:12,663590305.3333333
2019-12-01:14,663744041.0438888
2019-12-01:16,663883114.9027778
2019-12-01:18,664015669.4844444
2019-12-01:20,664142550.1294444
2019-12-01:22,664275519.4229481
2019-12-02:00,664497112.418611
2019-12-02:02,665169975.0297222
2019-12-02:04,665643327.281389
2019-12-02:06,666196179.2561111
2019-12-02:08,666503195.0119445
2019-12-02:10,666640873.7566668
2019-12-02:12,666766106.3133332
2019-12-02:14,666887814.9536111
2019-12-02:16,666990991.4286113
2019-12-02:18,667073463.1338887
2019-12-02:20,667154706.4994444
2019-12-02:22,667248986.6030555
2019-12-03:00,667425374.5766668
2019-12-03:02,668020277.48
2019-12-03:04,668432673.1199999
2019-12-03:06,668952089.5366666
2019-12-03:08,669239474.8105557
2019-12-03:10,669394894.7366668
2019-12-03:12,669537560.0619444
2019-12-03:14,669684584.7141666
2019-12-03:16,669808396.2277777
2019-12-03:18,669909763.8611113
2019-12-03:20,670008631.6480557
2019-12-03:22,670118739.0633332
2019-12-04:00,670310615.1022223
2019-12-04:02,670971848.3027779
2019-12-04:04,671450219.5722221
2019-12-04:06,672008505.5622222
2019-12-04:08,672325457.01
2019-12-04:10,672488214.863889
2019-12-04:12,672643928.8711113
2019-12-04:14,672798971.5236112
2019-12-04:16,672927808.7213888
2019-12-04:18,673034763.6861111
2019-12-04:20,673139825.793611
2019-12-04:22,673255987.2577777
2019-12-05:00,673458183.875
2019-12-05:02,674132988.6572223
2019-12-05:04,421876367.964881
2019-12-05:06,263696116.7869597
2019-12-05:08,263982275.16297168
2019-12-05:10,264287907.35433704
2019-12-05:12,264735181.95825475
2019-12-05:14,264789499.07311323
2019-12-05:16,264828187.82092515
2019-12-05:18,264853423.13721183
2019-12-05:20,264878366.6012447
2019-12-05:22,264968267.20805082
2019-12-06:00,265518249.0894916
2019-12-06:02,266611076.78477463
2019-12-06:04,267115206.92272
2019-12-06:06,267932763.5925052
2019-12-06:08,268360306.25592235
2019-12-06:10,268568319.7261791
2019-12-06:12,268622233.91746587
2019-12-06:14,268698394.2499607
2019-12-06:16,268733415.6142034
2019-12-06:18,268755815.47351944
2019-12-06:20,268777638.51214623
2019-12-06:22,268800559.17045844
2019-12-07:00,268886140.91168773
2019-12-07:02,269731949.6055293
2019-12-07:04,270161765.33656967
2019-12-07:06,270330135.55064195
2019-12-07:08,270369843.071305
2019-12-07:10,270394935.5840016
2019-12-07:12,270420075.5253799
2019-12-07:14,270444709.0373297
2019-12-07:16,270467571.8614124
2019-12-07:18,270488790.59597737
2019-12-07:20,270509366.02950734
2019-12-07:22,270530826.3848642
2019-12-08:00,270659519.0572458
2019-12-08:02,271324658.03857446
2019-12-08:04,271424672.255346
2019-12-08:06,271481555.82886535
2019-12-08:08,271883828.78480095
2019-12-08:10,272234852.33375275
2019-12-08:12,272394553.4571803
2019-12-08:14,272420474.47881293
2019-12-08:16,272443800.6678851
2019-12-08:18,272465038.4540357
2019-12-08:20,272485942.17726666
2019-12-08:22,272573252.18450814
2019-12-09:00,273003608.6373297
2019-12-09:02,273872857.4085167
2019-12-09:04,274825016.1276468
2019-12-09:06,275591254.6396227
2019-12-09:08,276459026.4697457
2019-12-09:10,276701161.42213035
2019-12-09:12,277204346.91797686
2019-12-09:14,277255618.9442348
2019-12-09:16,277291889.1488207
2019-12-09:18,277314551.5456498
2019-12-09:20,277336730.58262587
2019-12-09:22,277417648.5977834
2019-12-10:00,277926757.43844336
2019-12-10:02,279182402.4434749
2019-12-10:04,279656182.7914833
2019-12-10:06,280376469.9106524
2019-12-10:08,281076011.3474711
2019-12-10:10,281260960.6648191
2019-12-10:12,281774386.0330714
2019-12-10:14,281827213.97697854
2019-12-10:16,281864873.3273584
2019-12-10:18,281888305.1704141
2019-12-10:20,281911239.2944576
2019-12-10:22,281998964.70025754
2019-12-11:00,282575559.23892826
2019-12-11:02,283952910.65956503
2019-12-11:04,284480930.301271
2019-12-11:06,285415569.98633385
2019-12-11:08,286339682.3096174
2019-12-11:10,286530085.384316
2019-12-11:12,286971105.66373163
2019-12-11:14,287023521.30710167
2019-12-11:16,287061289.04194194
2019-12-11:18,287084329.93590134
2019-12-11:20,287106369.39553195
2019-12-11:22,287186386.61975974
2019-12-12:00,287770350.68232435
2019-12-12:02,288923227.607652
2019-12-12:04,289987239.52392566
2019-12-12:06,291138343.4552017
2019-12-12:08,291512732.12496066
2019-12-12:10,291580364.8600892
2019-12-12:12,291676583.12882614
2019-12-12:14,291720700.0446409
2019-12-12:16,291759990.78919023
2019-12-12:18,291781309.38448656
2019-12-12:20,291802045.91421634
2019-12-12:22,291889346.55678964
2019-12-13:00,292777726.93426365
2019-12-13:02,293671139.14481115
2019-12-13:04,294942676.91605085
2019-12-13:06,296259472.5671121
2019-12-13:08,297019956.10300046
2019-12-13:10,297163383.03848267
2019-12-13:12,297192296.63279617
2019-12-13:14,192067743.64732623
2019-12-13:16,42944210.75607968
2019-12-13:18,42967218.69838836
2019-12-13:20,42989577.15970911
2019-12-13:22,43075929.10300312
2019-12-14:00,43210753.79776963
2019-12-14:02,43594411.29575471
2019-12-14:04,43772085.307665095
2019-12-14:06,43827026.92349318
2019-12-14:08,43957887.03670073
2019-12-14:10,44116693.64297693
2019-12-14:12,44183183.73624215
2019-12-14:14,44209249.75017033
2019-12-14:16,44232876.08113209
2019-12-14:18,44254769.74646226
2019-12-14:20,44275515.464399904
2019-12-14:22,44295966.93047577
2019-12-15:00,44395172.62671645
2019-12-15:02,44503321.386582814
2019-12-15:04,44883753.55847746
2019-12-15:06,45061284.90124477
2019-12-15:08,45115091.91804246
2019-12-15:10,45354922.10786165
2019-12-15:12,45578929.08715933
2019-12-15:14,45605400.10786164
2019-12-15:16,45629553.29477201
